pair_id,leader_code,leader_name,follower_code,follower_name,pair_type,relationship,dependency_pct,via_code,via_name,source
D_6752_8059,6752,パナソニック　ホールディングス,8059,第一実業株式会社,direct,第一実業株式会社の売上12.9%がパナソニック　ホールディングスに依存,12.9,,,edinet_yuho_2025
D_7974_8150,7974,任天堂,8150,三信電気株式会社,direct,三信電気株式会社の売上11.6%が任天堂に依存,11.6,,,edinet_yuho_2025
D_8766_8769,8766,東京海上ホールディングス,8769,株式会社アドバンテッジリスクマネジメント,direct,株式会社アドバンテッジリスクマネジメントの売上10.6%が東京海上ホールディングスに依存,10.6,,,edinet_yuho_2025
D_MET_8798,MET,MetLife,8798,株式会社アドバンスクリエイト,direct,株式会社アドバンスクリエイトの売上18.9%がMetLifeに依存,18.9,,,edinet_yuho_2025
D_EQIX_8818,EQIX,Equinix,8818,京阪神ビルディング株式会社,direct,京阪神ビルディング株式会社の売上18.2%がEquinixに依存,18.2,,,edinet_yuho_2025
D_9434_8818,9434,ソフトバンク,8818,京阪神ビルディング株式会社,direct,京阪神ビルディング株式会社の売上12.4%がソフトバンクに依存,12.4,,,edinet_yuho_2025
D_2749_8894,2749,ＪＰホールディングス,8894,株式会社ＲＥＶＯＬＵＴＩＯＮ,direct,株式会社ＲＥＶＯＬＵＴＩＯＮの売上14.0%がＪＰホールディングスに依存,14.0,,,edinet_yuho_2025
D_2337_8927,2337,いちご,8927,株式会社明豊エンタープライズ,direct,株式会社明豊エンタープライズの売上12.8%がいちごに依存,12.8,,,edinet_yuho_2025
D_5401_9110,5401,日本製鉄,9110,ＮＳユナイテッド海運株式会社,direct,ＮＳユナイテッド海運株式会社の売上48.9%が日本製鉄に依存,48.9,,,edinet_yuho_2025
D_7912_9227,7912,大日本印刷,9227,マイクロ波化学株式会社,direct,マイクロ波化学株式会社の売上11.1%が大日本印刷に依存,11.1,,,edinet_yuho_2025
D_2588_9252,2588,プレミアムウォーターホールディングス,9252,株式会社ラストワンマイル,direct,株式会社ラストワンマイルの売上10.5%がプレミアムウォーターホールディングスに依存,10.5,,,edinet_yuho_2025
D_2224_9563,2224,コモ,9563,Atlas Technologies株式会社,direct,Atlas Technologies株式会社の売上60.1%がコモに依存,60.1,,,edinet_yuho_2025
D_8515_9563,8515,アイフル,9563,Atlas Technologies株式会社,direct,Atlas Technologies株式会社の売上13.2%がアイフルに依存,13.2,,,edinet_yuho_2025
D_6436_9698,6436,アマノ,9698,株式会社クレオ,direct,株式会社クレオの売上14.3%がアマノに依存,14.3,,,edinet_yuho_2025
D_6702_9698,6702,富士通,9698,株式会社クレオ,direct,株式会社クレオの売上13.3%が富士通に依存,13.3,,,edinet_yuho_2025
D_1820_9763,1820,西松建設,9763,丸紅建材リース株式会社,direct,丸紅建材リース株式会社の売上11.9%が西松建設に依存,11.9,,,edinet_yuho_2025
D_NVDA_4062,NVDA,NVIDIA,4062,イビデン,direct,AIチップ向けパッケージ基板を独占的供給,0.0,,,llm_web_survey
D_NVDA_4004,NVDA,NVIDIA,4004,レゾナック,direct,半導体後工程材料(ボンディングワイヤ・モールド樹脂・基板材料),0.0,,,llm_web_survey
D_NVDA_6315,NVDA,NVIDIA,6315,TOWA,direct,半導体モールディング装置(コンプレッション),0.0,,,llm_web_survey
D_NVDA_6857,NVDA,NVIDIA,6857,アドバンテスト,direct,GPU/HBMテスト装置(ほぼ独占),0.0,,,llm_web_survey
